Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
30.279912,,,,,,
30.279912,,,,,,
30.279912,,,,,,
29.023467,,,,,,
29.978532,,,,,,
29.978532,,,,,,
29.978532,,,,,,
29.978532,,,,,,
29.978532,,,,,,
30.449693,,,,,,
30.4326,74.01212903,2.47292596,729.4539321,27.6,41.1,30.6
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
29.780112,74.01212903,2.47292596,729.4539321,27,40.4,30
26.74064,74.01212903,2.47292596,729.4539321,24.3,37.3,27.1
30.621467,74.01212903,2.47292596,729.4539321,27.8,41.3,30.7
30.4326,74.01212903,2.47292596,729.4539321,27.6,41.1,30.6
30.4326,74.01212903,2.47292596,729.4539321,27.6,41.1,30.6
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
21.80835367,74.01212903,2.47292596,729.4539321,20,32.2,22.6
18.83767,74.01212903,2.47292596,729.4539321,17.4,29.2,19.9
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
27.140332,69.86473552,2.995082475,623.0824373,23.8,35.4,26.4
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
28.34782,69.86473552,2.995082475,623.0824373,24.8,36.6,27.6
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
27.481986,69.86473552,2.995082475,623.0824373,24.1,35.7,26.7
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
30.936807,69.86473552,2.995082475,623.0824373,27.1,39.3,29.9
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
27.481986,69.86473552,2.995082475,623.0824373,24.1,35.7,26.7
18.749148,69.86473552,2.995082475,623.0824373,16.4,26.8,18.7
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
29.856369,69.86473552,2.995082475,623.0824373,26.2,38.2,28.9
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
30.473869,69.86473552,2.995082475,623.0824373,26.7,38.8,29.5
30.473869,69.86473552,2.995082475,623.0824373,26.7,38.8,29.5
30.473869,69.86473552,2.995082475,623.0824373,26.7,38.8,29.5
27.175466,69.86473552,2.995082475,623.0824373,23.8,35.4,26.5
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.009458,68.22419355,2.076580645,631.3409235,27.1,40.7,30.2
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
29.347161,68.22419355,2.076580645,631.3409235,25.7,39,28.7
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
29.347161,68.22419355,2.076580645,631.3409235,25.7,39,28.7
31.021989,79.34790374,0.908132719,561.6296296,29.3,42.7,32.2
30.634541,79.34790374,0.908132719,561.6296296,29,42.3,31.8
31.021989,79.34790374,0.908132719,561.6296296,29.3,42.7,32.2
29.347161,79.34790374,0.908132719,561.6296296,27.8,41,30.6
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
29.347161,79.34790374,0.908132719,561.6296296,27.8,41,30.6
24.165982,79.34790374,0.908132719,561.6296296,23.2,35.6,25.8
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
15.6513095,79.34790374,0.908132719,561.6296296,15.7,26.9,17.9
15.29270925,79.34790374,0.908132719,561.6296296,15.4,26.5,17.6
27.727402,72.16115105,3.331352381,762.2804233,24.8,37.6,27.6
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
25.198233,72.16115105,3.331352381,762.2804233,22.5,35,25.3
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
29.347161,72.16115105,3.331352381,762.2804233,26.2,39.2,29.1
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.04259,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.04259,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
27.727402,72.16115105,3.331352381,762.2804233,24.8,37.6,27.6
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.274946,72.16115105,3.331352381,762.2804233,27,40.2,30
30.274946,72.16115105,3.331352381,762.2804233,27,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
27.443805,72.16115105,3.331352381,762.2804233,24.5,37.3,27.4
21.345269,72.16115105,3.331352381,762.2804233,19.2,31,21.7
21.345269,72.16115105,3.331352381,762.2804233,19.2,31,21.7
28.273706,72.16115105,3.331352381,762.2804233,25.3,38.1,28.1
28.273706,72.16115105,3.331352381,762.2804233,25.3,38.1,28.1
16.275043,72.16115105,3.331352381,762.2804233,14.7,25.9,17.1
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
29.725254,77.2521321,3.327670046,556.6247582,27.1,36.9,29.3
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.876636,77.2521321,3.327670046,556.6247582,27.2,37.1,29.4
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.205661,77.2521321,3.327670046,556.6247582,27.5,37.4,29.8
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.205661,77.2521321,3.327670046,556.6247582,27.5,37.4,29.8
29.475672,77.2521321,3.327670046,556.6247582,26.8,36.7,29.1
27.557315,77.2521321,3.327670046,556.6247582,25.1,34.7,27.3
27.557315,77.2521321,3.327670046,556.6247582,25.1,34.7,27.3
29.94404,77.2521321,3.327670046,556.6247582,27.3,37.1,29.5
24.499239,77.2521321,3.327670046,556.6247582,22.3,31.5,24.4
24.499239,77.2521321,3.327670046,556.6247582,22.3,31.5,24.4
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
30.205661,77.2521321,3.327670046,556.6247582,27.5,37.4,29.8
30.205661,77.2521321,3.327670046,556.6247582,27.5,37.4,29.8
29.94404,77.2521321,3.327670046,556.6247582,27.3,37.1,29.5
25.545341,77.2521321,3.327670046,556.6247582,23.3,32.6,25.4
30.244022,72.51354839,2.239344086,896.8963675,27.5,43.9,31.1
29.75127,72.51354839,2.239344086,896.8963675,27.1,43.4,30.6
29.422967,72.51354839,2.239344086,896.8963675,26.8,43,30.3
27.108091,72.51354839,2.239344086,896.8963675,24.8,40.6,28.2
27.65632,72.51354839,2.239344086,896.8963675,25.3,41.2,28.7
29.422967,72.51354839,2.239344086,896.8963675,26.8,43,30.3
29.75127,72.51354839,2.239344086,896.8963675,27.1,43.4,30.6
29.552022,72.51354839,2.239344086,896.8963675,26.9,43.1,30.4
26.531265,72.51354839,2.239344086,896.8963675,24.3,40,27.7
30.489928,72.51354839,2.239344086,896.8963675,27.7,44.1,31.3
28.162874,72.51354839,2.239344086,896.8963675,25.7,41.7,29.1
18.6994095,72.51354839,2.239344086,896.8963675,17.5,32.1,20.6
20.879409,72.51354839,2.239344086,896.8963675,19.4,34.3,22.5
27.108091,72.51354839,2.239344086,896.8963675,24.8,40.6,28.2
26.945443,72.51354839,2.239344086,896.8963675,24.6,40.5,28
26.989333,89.26386278,8.803007373,588.2440476,26,32.1,27.3
30.164794,74.4444086,2.733817204,817.3493409,27.5,41.7,30.6
26.471953,74.4444086,2.733817204,817.3493409,24.2,37.9,27.2
30.87829,74.4444086,2.733817204,817.3493409,28.1,42.4,31.2
30.298394,74.4444086,2.733817204,817.3493409,27.6,41.8,30.7
25.920699,74.4444086,2.733817204,817.3493409,23.7,37.3,26.7
26.471953,74.4444086,2.733817204,817.3493409,24.2,37.9,27.2
30.082365,74.4444086,2.733817204,817.3493409,27.4,41.6,30.5
29.552022,74.4444086,2.733817204,817.3493409,26.9,41,30
29.2059,74.4444086,2.733817204,817.3493409,26.6,40.7,29.7
29.422967,74.4444086,2.733817204,817.3493409,26.8,40.9,29.9
27.47675433,74.4444086,2.733817204,817.3493409,25.1,38.9,28.1
29.2059,74.4444086,2.733817204,817.3493409,26.6,40.7,29.7
25.417861,74.4444086,2.733817204,817.3493409,23.3,36.8,26.2
29.978532,80.38328674,3.286017204,715.4855002,28,39.4,30.5
29.978532,80.38328674,3.286017204,715.4855002,28,39.4,30.5
29.978532,80.38328674,3.286017204,715.4855002,28,39.4,30.5
29.978532,80.38328674,3.286017204,715.4855002,28,39.4,30.5
29.033291,80.38328674,3.286017204,715.4855002,27.1,38.4,29.6
29.033291,80.38328674,3.286017204,715.4855002,27.1,38.4,29.6
29.495319,68.3683062,3.188540092,478.0503145,25.4,35.6,27.8
30.701476,68.3683062,3.188540092,478.0503145,26.5,36.9,29
30.701476,68.3683062,3.188540092,478.0503145,26.5,36.9,29
30.701476,68.3683062,3.188540092,478.0503145,26.5,36.9,29
30.701476,68.3683062,3.188540092,478.0503145,26.5,36.9,29
30.701476,68.3683062,3.188540092,478.0503145,26.5,36.9,29
30.701476,68.3683062,3.188540092,478.0503145,26.5,36.9,29
30.936807,69.86473552,2.995082475,623.0824373,27.1,39.3,29.9
30.936807,69.86473552,2.995082475,623.0824373,27.1,39.3,29.9
30.936807,69.86473552,2.995082475,623.0824373,27.1,39.3,29.9
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
31.617178,67.33769572,2.71036479,648.0053822,27.4,40.7,30.5
30.970858,67.33769572,2.71036479,648.0053822,26.8,40,29.9
30.970858,67.33769572,2.71036479,648.0053822,26.8,40,29.9
30.765164,67.33769572,2.71036479,648.0053822,26.6,39.8,29.7
31.417176,67.33769572,2.71036479,648.0053822,27.2,40.5,30.3
31.417176,67.33769572,2.71036479,648.0053822,27.2,40.5,30.3
31.32405933,67.33769572,2.71036479,648.0053822,27.1,40.4,30.2
30.970858,67.33769572,2.71036479,648.0053822,26.8,40,29.9
31.310867,67.33769572,2.71036479,648.0053822,27.1,40.3,30.2
31.617178,67.33769572,2.71036479,648.0053822,27.4,40.7,30.5
29.4214758,67.33769572,2.71036479,648.0053822,25.5,38.4,28.5
29.043879,67.33769572,2.71036479,648.0053822,25.2,38,28.1
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
30.717755,74.6804086,3.476432258,639.3944232,27.6,38.9,30.2
30.717755,74.6804086,3.476432258,639.3944232,27.6,38.9,30.2
30.717755,74.6804086,3.476432258,639.3944232,27.6,38.9,30.2
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
30.426634,74.6804086,3.476432258,639.3944232,27.4,38.6,29.9
29.876636,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.876636,74.6804086,3.476432258,639.3944232,26.9,38,29.4
28.694947,74.6804086,3.476432258,639.3944232,25.8,36.8,28.3
28.694947,74.6804086,3.476432258,639.3944232,25.8,36.8,28.3
29.876636,74.6804086,3.476432258,639.3944232,26.9,38,29.4
29.833882,74.6804086,3.476432258,639.3944232,26.9,38,29.4
24.499239,74.6804086,3.476432258,639.3944232,22.1,32.5,24.4
10.134408,74.6804086,3.476432258,639.3944232,9.3,17.8,11.1
22.951072,74.6804086,3.476432258,639.3944232,20.7,30.9,22.9
31.743817,68.11424731,2.613306452,689.9193548,27.7,41.6,30.9
31.575188,68.11424731,2.613306452,689.9193548,27.6,41.4,30.7
31.709079,68.11424731,2.613306452,689.9193548,27.7,41.5,30.8
31.709079,68.11424731,2.613306452,689.9193548,27.7,41.5,30.8
31.743817,68.11424731,2.613306452,689.9193548,27.7,41.6,30.9
30.863315,68.11424731,2.613306452,689.9193548,26.9,40.6,30.1
31.119684,68.11424731,2.613306452,689.9193548,27.2,40.9,30.3
31.119684,68.11424731,2.613306452,689.9193548,27.2,40.9,30.3
27.140332,68.11424731,2.613306452,689.9193548,23.7,36.8,26.7
30.701432,68.11424731,2.613306452,689.9193548,26.8,40.5,29.9
28.503937,68.11424731,2.613306452,689.9193548,24.9,38.2,27.9
28.830605,68.11424731,2.613306452,689.9193548,25.2,38.5,28.2
31.743817,68.11424731,2.613306452,689.9193548,27.7,41.6,30.9
31.221491,68.11424731,2.613306452,689.9193548,27.3,41,30.4
31.466325,68.11424731,2.613306452,689.9193548,27.5,41.3,30.6
31.575188,68.11424731,2.613306452,689.9193548,27.6,41.4,30.7
31.466325,68.11424731,2.613306452,689.9193548,27.5,41.3,30.6
28.503937,68.11424731,2.613306452,689.9193548,24.9,38.2,27.9
28.066387,68.11424731,2.613306452,689.9193548,24.5,37.8,27.5
28.326372,68.11424731,2.613306452,689.9193548,24.7,38,27.7
24.578194,68.11424731,2.613306452,689.9193548,21.5,34.2,24.3
28.7260255,68.11424731,2.613306452,689.9193548,25.1,38.4,28.1
30.701432,68.11424731,2.613306452,689.9193548,26.8,40.5,29.9
30.691564,68.11424731,2.613306452,689.9193548,26.8,40.5,29.9
29.2005115,68.11424731,2.613306452,689.9193548,25.5,38.9,28.5
29.4869865,68.11424731,2.613306452,689.9193548,25.7,39.2,28.8
30.768897,68.11424731,2.613306452,689.9193548,26.9,40.5,30
28.157742,68.11424731,2.613306452,689.9193548,24.6,37.9,27.6
28.2071035,68.11424731,2.613306452,689.9193548,24.6,37.9,27.6
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
27.175466,68.22419355,2.076580645,631.3409235,23.8,36.8,26.7
29.856369,68.22419355,2.076580645,631.3409235,26.1,39.6,29.2
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
27.995308,68.22419355,2.076580645,631.3409235,24.5,37.6,27.5
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
27.175466,68.22419355,2.076580645,631.3409235,23.8,36.8,26.7
27.175466,68.22419355,2.076580645,631.3409235,23.8,36.8,26.7
27.995308,68.22419355,2.076580645,631.3409235,24.5,37.6,27.5
29.856369,68.22419355,2.076580645,631.3409235,26.1,39.6,29.2
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
30.449693,68.22419355,2.076580645,631.3409235,26.6,40.2,29.7
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
30.556946,68.22419355,2.076580645,631.3409235,26.8,40.3,29.8
20.794699,68.22419355,2.076580645,631.3409235,18.3,30.2,20.9
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
27.443805,74.1046147,3.595022081,608.1225589,24.6,35,26.9
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.274946,74.1046147,3.595022081,608.1225589,27.1,37.9,29.6
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
30.001082,74.1046147,3.595022081,608.1225589,26.9,37.6,29.3
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
31.0833015,74.1046147,3.595022081,608.1225589,27.8,38.7,30.3
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.645635,74.1046147,3.595022081,608.1225589,27.4,38.3,29.9
30.099597,74.1046147,3.595022081,608.1225589,26.9,37.7,29.4
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.213088,74.1046147,3.595022081,608.1225589,27,37.8,29.5
30.001082,74.1046147,3.595022081,608.1225589,26.9,37.6,29.3
30.001082,74.1046147,3.595022081,608.1225589,26.9,37.6,29.3
29.522088,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
29.501427,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
29.501427,74.1046147,3.595022081,608.1225589,26.4,37.1,28.9
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.099597,74.1046147,3.595022081,608.1225589,26.9,37.7,29.4
29.833882,74.1046147,3.595022081,608.1225589,26.7,37.4,29.2
29.833882,74.1046147,3.595022081,608.1225589,26.7,37.4,29.2
30.219416,74.1046147,3.595022081,608.1225589,27.1,37.8,29.5
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.099597,74.1046147,3.595022081,608.1225589,26.9,37.7,29.4
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
30.717755,74.1046147,3.595022081,608.1225589,27.5,38.4,30
